,gpt-4-turbo-2024-04-09,gpt-4o-2024-05-13,gpt-4o-2024-08-06,gpt-4o-2024-11-20,gpt-4.1-mini-2025-04-14,gpt-4.1-nano-2025-04-14
0,52,58,47,58,52,54
1,49,57,47,49,48,64
2,53,49,52,54,72,53
3,68,49,53,57,61,75
4,63,72,49,67,49,65
5,56,47,52,54,54,77
6,63,54,53,52,62,34
7,68,93,56,56,54,53
8,49,70,57,64,54,41
9,53,56,58,63,67,35
10,61,78,53,68,49,37
11,57,53,54,51,76,48
12,46,68,52,66,49,51
13,67,79,62,72,59,60
14,51,55,54,53,67,58
15,53,87,50,78,56,47
16,93,68,63,62,44,41
17,52,58,54,72,45,54
18,52,68,53,74,52,66
19,49,55,62,64,54,56
20,52,63,62,58,49,44
21,57,63,54,57,52,41
22,51,60,52,65,52,57
23,72,59,70,48,44,53
24,42,48,55,63,59,41
